epoc (ms),timestamp (+0100),elapsed (s),x-axis (deg/s),y-axis (deg/s),z-axis (deg/s)
1739458224938,2025-02-13T15.50.24.938,0.812,-0.061,1.037,0.183
1739458224941,2025-02-13T15.50.24.941,0.815,-0.061,1.159,0.183
1739458224942,2025-02-13T15.50.24.942,0.816,0.061,1.037,0.000
1739458224945,2025-02-13T15.50.24.945,0.819,-0.122,0.854,0.122
1739458224948,2025-02-13T15.50.24.948,0.822,-0.122,0.915,0.244
1739458224949,2025-02-13T15.50.24.949,0.823,0.000,1.037,0.122
1739458224952,2025-02-13T15.50.24.952,0.826,-0.183,1.037,0.122
1739458224955,2025-02-13T15.50.24.955,0.829,-0.061,1.098,0.061
1739458224957,2025-02-13T15.50.24.957,0.831,0.000,0.976,0.061
1739458224960,2025-02-13T15.50.24.960,0.834,0.183,0.915,0.061
1739458224963,2025-02-13T15.50.24.963,0.837,0.000,0.915,0.122
1739458224966,2025-02-13T15.50.24.966,0.840,0.122,0.976,0.244
1739458224967,2025-02-13T15.50.24.967,0.841,0.122,0.915,0.122
1739458224970,2025-02-13T15.50.24.970,0.844,0.183,1.098,0.000
1739458224973,2025-02-13T15.50.24.973,0.847,0.000,1.098,0.061
1739458224974,2025-02-13T15.50.24.974,0.848,-0.061,1.037,0.061
1739458224977,2025-02-13T15.50.24.977,0.851,0.122,1.098,0.000
1739458224980,2025-02-13T15.50.24.980,0.854,0.122,0.915,0.122
1739458224983,2025-02-13T15.50.24.983,0.857,-0.061,0.915,0.183
1739458224985,2025-02-13T15.50.24.985,0.859,0.061,1.159,0.122
1739458224987,2025-02-13T15.50.24.987,0.861,0.244,1.098,0.000
1739458224990,2025-02-13T15.50.24.990,0.864,-0.122,0.915,0.183
1739458224992,2025-02-13T15.50.24.992,0.866,-0.122,0.976,0.122
1739458224995,2025-02-13T15.50.24.995,0.869,0.061,0.854,0.244
1739458224998,2025-02-13T15.50.24.998,0.872,-0.061,1.098,0.122
1739458225001,2025-02-13T15.50.25.001,0.875,0.000,0.854,0.122
1739458225002,2025-02-13T15.50.25.002,0.876,-0.122,0.854,0.000
1739458225005,2025-02-13T15.50.25.005,0.879,0.000,0.854,0.061
1739458225008,2025-02-13T15.50.25.008,0.882,0.183,0.793,0.183
1739458225009,2025-02-13T15.50.25.009,0.883,0.061,0.793,0.061
1739458225012,2025-02-13T15.50.25.012,0.886,-0.061,0.915,0.061
1739458225015,2025-02-13T15.50.25.015,0.889,-0.061,0.976,0.061
1739458225018,2025-02-13T15.50.25.018,0.892,0.183,0.915,0.183
1739458225020,2025-02-13T15.50.25.020,0.894,0.000,0.976,0.061
1739458225023,2025-02-13T15.50.25.023,0.897,0.000,0.976,0.061
1739458225026,2025-02-13T15.50.25.026,0.900,0.122,0.976,0.061
1739458225027,2025-02-13T15.50.25.027,0.901,0.122,0.854,0.061
1739458225030,2025-02-13T15.50.25.030,0.904,0.000,0.976,0.122
1739458225033,2025-02-13T15.50.25.033,0.907,-0.122,0.976,0.000
1739458225036,2025-02-13T15.50.25.036,0.910,0.000,0.976,0.061
1739458225037,2025-02-13T15.50.25.037,0.911,0.000,0.976,0.244
1739458225040,2025-02-13T15.50.25.040,0.914,-0.061,0.976,0.244
